RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
1,Miguel Cabrera,DET,429,64,145,28,1,18,76,1,1,77,82,0.338,0.44,0.534,0.974,5.2
2,Dee Gordon,MIA,615,88,205,24,8,4,46,58,20,25,91,0.333,0.359,0.418,0.776,4.9
3,Bryce Harper,WSH,521,118,172,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,9.9
4,Paul Goldschmidt,ARI,567,103,182,38,2,33,110,21,5,118,151,0.321,0.435,0.57,1.005,8.8
5,Xander Bogaerts,BOS,613,84,196,35,3,7,81,10,2,32,101,0.32,0.355,0.421,0.776,4.6
6,Buster Posey,SF,557,74,177,28,0,19,95,2,0,56,52,0.318,0.379,0.47,0.849,6.1
7,A.J. Pollock,ARI,609,111,192,39,6,20,76,39,7,53,89,0.315,0.367,0.498,0.865,7.4
8,Yunel Escobar,WSH,535,75,168,25,1,9,56,2,2,45,70,0.314,0.375,0.415,0.79,1.9
9,Joey Votto,CIN,545,95,171,33,2,29,80,11,3,143,135,0.314,0.459,0.541,1,7.6
10,Jose Altuve,HOU,638,86,200,40,4,15,66,38,13,33,67,0.313,0.353,0.459,0.812,4.5
11,David Peralta,ARI,462,61,144,26,10,17,78,9,4,44,107,0.312,0.371,0.522,0.893,3.7
12,Michael Brantley,CLE,529,68,164,45,0,15,84,15,1,60,51,0.31,0.379,0.48,0.859,3.4
13,Lorenzo Cain,KC,551,101,169,34,6,16,72,28,6,37,98,0.307,0.361,0.477,0.838,7.2
14,Ben Revere,TOR/PHI,592,84,181,22,7,2,45,31,7,32,64,0.306,0.342,0.377,0.719,2.6
15,Prince Fielder,TEX,613,78,187,28,0,23,98,0,0,64,88,0.305,0.378,0.463,0.841,1.9
16,Ender Inciarte,ARI,524,73,159,27,5,6,45,21,10,26,58,0.303,0.338,0.408,0.747,5.3
17,Jason Kipnis,CLE,565,86,171,43,7,9,52,12,8,57,107,0.303,0.372,0.451,0.823,4.6
18,Nelson Cruz,SEA,590,90,178,22,1,44,93,3,2,59,164,0.302,0.369,0.566,0.936,5.2
19,DJ LeMahieu,COL,564,85,170,21,5,6,61,23,3,50,107,0.301,0.358,0.388,0.746,2.3
20,Christian Yelich,MIA,476,63,143,30,2,7,44,16,5,47,101,0.3,0.366,0.416,0.782,3.5
21,Mike Trout,LAA,575,104,172,32,6,41,90,11,7,92,158,0.299,0.402,0.59,0.991,9.4
22,Eric Hosmer,KC,599,98,178,33,5,18,93,7,3,61,108,0.297,0.363,0.459,0.822,3.6
23,Odubel Herrera,PHI,495,64,147,30,3,8,41,16,8,28,129,0.297,0.344,0.418,0.762,3.8
24,Josh Donaldson,TOR,620,122,184,41,2,41,123,6,0,73,133,0.297,0.371,0.568,0.939,8.8
25,Ian Kinsler,DET,624,94,185,35,7,11,73,10,6,43,80,0.296,0.342,0.428,0.77,6
26,Nick Markakis,ATL,612,73,181,38,1,3,53,2,1,70,83,0.296,0.37,0.376,0.746,1.9
27,Matt Duffy,SF,573,77,169,28,6,12,77,12,0,30,96,0.295,0.334,0.428,0.762,4.9
28,Francisco Cervelli,PIT,451,56,133,17,5,7,43,1,1,46,94,0.295,0.37,0.401,0.771,3.1
29,Billy Burns,OAK,520,70,153,18,9,5,42,26,8,26,81,0.294,0.334,0.392,0.726,2.8
30,Brandon Phillips,CIN,588,69,173,19,2,12,70,23,3,27,68,0.294,0.328,0.395,0.723,3.5
31,Jason Heyward,STL,547,79,160,33,4,13,60,23,3,56,90,0.293,0.359,0.439,0.797,6.5
32,Andrew McCutchen,PIT,566,91,165,36,3,23,96,11,5,98,133,0.292,0.401,0.488,0.889,4.8
33,Mookie Betts,BOS,597,92,174,42,8,18,77,21,6,46,82,0.291,0.341,0.479,0.82,6
34,Yoenis Cespedes,DET/NYM,633,101,184,42,6,35,105,7,5,33,141,0.291,0.328,0.542,0.87,6.3
35,Gerardo Parra,BAL/MIL,547,83,159,36,5,14,51,14,4,28,92,0.291,0.328,0.452,0.78,1
36,Jose Abreu,CHW,613,88,178,34,3,30,101,0,0,39,140,0.29,0.347,0.502,0.85,3.8
37,Kendrys Morales,KC,569,81,165,41,2,22,106,0,0,58,103,0.29,0.362,0.485,0.847,2.4
38,Martin Prado,MIA,500,52,144,22,2,9,63,1,0,37,68,0.288,0.338,0.394,0.732,3.1
39,Adrian Beltre,TEX,567,83,163,32,4,18,83,1,0,41,65,0.287,0.334,0.453,0.788,5.8
40,Nolan Arenado,COL,616,97,177,43,4,42,130,2,5,34,110,0.287,0.323,0.575,0.898,5.7
